Name,Year,Month,Sustained wind speeds in km/h,Pressure in hPa
Hurricane #3,1853,August,240,924
1856 Last Island Hurricane,1856,August,240,934
Hurricane #6,1866,September,220,938
Hurricane #7,1878,September,220,935
Hurricane #2,1880,August,240,931
Hurricane #8,1880,September,220,928
Hurricane #6,1882,October,220,975
Indianola Hurricane of 1886,1886,August,250,925
Hurricane #10,1893,September,215,948
Hurricane #6,1894,October,215,931
Hurricane #7,1898,September,215,930
Hurricane #3,1899,August,240,930
Galveston Hurricane of 1900,1900,August,230,936
Hurricane #4,1906,August,215,950
1910 Cuba hurricane,1910,October,240,924
1915 Galveston hurricane,1915,August,230,940
1915 New Orleans hurricane,1915,September,230,931
1916 Texas hurricane,1916,August,215,932
1917 Nueva Gerona hurricane,1917,September,240,928
1919 Florida Keys hurricane,1919,September,240,927
1921 Tampa Bay hurricane,1921,October,220,941
1926 Nassau hurricane,1926,July,220,967
Hurricane #4,1926,September,220,957
1926 Miami hurricane,1926,September,240,930
1926 Havana–Bermuda hurricane,1926,October,240,934
1929 Bahamas hurricane,1929,September,250,924
1930 Dominican Republic hurricane,1930,August,250,933
1931 Belize hurricane,1931,September,215,952
1932 Freeport hurricane,1932,August,240,935
1932 San Ciprian hurricane,1932,September,230,943
1933 Chesapeake–Potomac hurricane,1933,August,220,940
1933 Treasure Coast hurricane,1933,August,220,945
1933 Outer Banks hurricane,1933,September,220,947
Hurricane #2,1935,August,215,955
1935 Cuba hurricane,1935,September,220,945
Hurricane #5,1939,October,220,941
Hurricane #4,1941,September,215,957
Hurricane #3,1943,August,220,0
1944 Great Atlantic hurricane,1944,September,230,933
1944 Cuba–Florida hurricane,1944,October,230,937
1945 Homestead hurricane,1945,September,215,949
1947 Fort Lauderdale hurricane,1947,September,230,938
1948 Bermuda–Newfoundland hurricane,1948,September,215,940
September 1948 Florida hurricane,1948,September,215,940
1949 Florida hurricane,1949,August,240,954
Hurricane Dog,1950,September,230,943
Hurricane Fox,1950,September,220,946
Hurricane King,1950,October,215,955
Hurricane Charlie,1951,August,215,958
Hurricane Easy,1951,September,240,937
Hurricane Fox,1952,October,230,934
Hurricane Hazel,1954,October,215,937
Hurricane Connie,1955,August,220,944
Hurricane Ione,1955,September,220,938
Hurricane Carrie,1957,September,220,945
Hurricane Cleo,1958,August,220,947
Hurricane Daisy,1958,August,215,948
Hurricane Helene,1958,September,215,934
Hurricane Gracie,1959,September,220,950
Hurricane Donna,1960,September,230,930
Hurricane Betsy,1961,September,220,945
Hurricane Esther,1961,September,230,927
Hurricane Flora,1963,September,230,940
Hurricane Cleo,1964,August,250,950
Hurricane Dora,1964,August,215,942
Hurricane Gladys,1964,September,230,945
Hurricane Hilda,1964,September,240,941
Hurricane Betsy,1965,August,250,941
Hurricane Inez,1966,September,240,929
Hurricane Carmen,1974,August,240,928
Hurricane Gladys,1975,September,220,939
Hurricane Ella,1978,August,220,956
Hurricane Greta,1978,September,215,947
Hurricane Frederic,1979,August,215,943
Hurricane Harvey,1981,September,215,946
Hurricane Debby,1982,September,215,950
Hurricane Diana,1984,September,215,949
Hurricane Gloria,1985,September,230,919
Hurricane Helene,1988,September,230,938
Hurricane Joan,1988,October,230,932
Hurricane Gabrielle,1989,August,230,935
Hurricane Claudette,1991,September,215,943
Hurricane Felix,1995,August,220,929
Hurricane Luis,1995,August,220,935
Hurricane Opal,1995,September,240,916
Hurricane Edouard,1996,August,230,933
Hurricane Hortense,1996,September,220,935
Hurricane Georges,1998,September,250,937
Hurricane Bret,1999,August,230,944
Hurricane Cindy,1999,August,220,942
Hurricane Floyd,1999,September,250,921
Hurricane Gert,1999,September,240,930
Hurricane Lenny,1999,November,250,933
Hurricane Isaac,2000,September,220,943
Hurricane Keith,2000,September,220,939
Hurricane Iris,2001,October,230,948
Hurricane Michelle,2001,November,220,933
Hurricane Lili,2002,October,230,938
Hurricane Fabian,2003,Aus,230,939
Hurricane Charley,2004,August,240,941
Hurricane Frances,2004,August,230,935
Hurricane Karl,2004,September,230,938
Hurricane Dennis,2005,July,240,930
Hurricane Gustav,2008,August,250,941
Hurricane Ike,2008,September,230,935
Hurricane Omar,2008,October,215,958
Hurricane Paloma,2008,November,230,944
Hurricane Bill,2009,August,215,943
Hurricane Danielle,2010,August,215,942
Hurricane Earl,2010,August,230,927
Hurricane Igor,2010,September,250,924
Hurricane Julia,2010,September,220,948
Hurricane Katia,2011,September,220,942
Hurricane Ophelia,2011,October,220,940
Hurricane Gonzalo,2014,October,230,940
Hurricane Joaquin,2015,October,250,931
Hurricane Nicole,2016,October,220,950
Hurricane Harvey,2017,August,215,937
Hurricane Jose,2017,September,250,938
Hurricane Florence,2018,September,240,937
